day,time,l1_p,l2_p,l3_p,l1_q,l2_q,l3_q,l1_i,l2_i,l3_i,l1_v,l2_v,l3_v
2021-02-21,0 days 10:01:00.000000000,105.684,6.715,0.0,-79.918,-8.791,0.0,0.721,0.057,0.0,239.702,238.242,0.0
2021-02-21,0 days 10:02:00.000000000,105.785,6.255,0.0,-80.134,-8.742,0.0,0.722,0.054,0.0,240.041,238.484,0.0
2021-02-21,0 days 10:03:00.000000000,99.345,2135.767,0.0,-92.814,2.133,0.0,0.731,8.23,0.0,240.556,237.705,0.0
2021-02-21,0 days 10:04:00.000000000,105.282,5.633,0.0,-79.964,-8.737,0.0,0.719,0.051,0.0,240.395,238.978,0.0
2021-02-21,0 days 10:05:00.000000000,105.33,5.626,0.0,-80.091,-8.745,0.0,0.72,0.051,0.0,240.321,239.162,0.0
2021-02-21,0 days 10:06:00.000000000,105.158,5.624,0.0,-79.992,-8.747,0.0,0.72,0.051,0.0,240.223,239.16,0.0
2021-02-21,0 days 10:07:00.000000000,105.208,5.621,0.0,-79.948,-8.745,0.0,0.718,0.051,0.0,240.239,239.185,0.0
2021-02-21,0 days 10:08:00.000000000,105.02,5.62,0.0,-79.861,-8.728,0.0,0.718,0.051,0.0,239.957,239.087,0.0
2021-02-21,0 days 10:09:00.000000000,104.365,5.573,0.0,-79.974,-8.708,0.0,0.714,0.05,0.0,240.162,239.066,0.0
2021-02-21,0 days 10:10:00.000000000,104.212,5.276,0.0,-80.216,-8.524,0.0,0.713,0.049,0.0,240.124,238.954,0.0
2021-02-21,0 days 10:11:00.000000000,103.911,5.276,0.0,-80.044,-8.544,0.0,0.711,0.05,0.0,240.241,239.135,0.0
2021-02-21,0 days 10:12:00.000000000,104.016,5.275,0.0,-79.753,-8.535,0.0,0.712,0.05,0.0,240.063,239.019,0.0
2021-02-21,0 days 10:13:00.000000000,104.263,5.27,0.0,-79.808,-8.53,0.0,0.712,0.049,0.0,240.149,238.754,0.0
2021-02-21,0 days 10:14:00.000000000,104.063,5.259,0.0,-79.793,-8.534,0.0,0.713,0.05,0.0,240.274,238.768,0.0
2021-02-21,0 days 10:15:00.000000000,104.01,5.259,0.0,-79.48,-8.516,0.0,0.714,0.05,0.0,239.884,238.549,0.0
2021-02-21,0 days 10:16:00.000000000,103.946,5.258,0.0,-79.764,-8.533,0.0,0.713,0.05,0.0,240.003,238.615,0.0
2021-02-21,0 days 10:17:00.000000000,104.291,5.259,0.0,-79.898,-8.551,0.0,0.714,0.05,0.0,240.252,238.878,0.0
2021-02-21,0 days 10:18:00.000000000,104.6,5.257,0.0,-79.981,-8.574,0.0,0.716,0.05,0.0,240.521,239.226,0.0
2021-02-21,0 days 10:19:00.000000000,137.028,5.205,0.0,-80.447,-8.483,0.0,0.901,0.049,0.0,240.808,239.491,0.0
2021-02-21,0 days 10:20:00.000000000,137.451,5.208,0.0,-80.25,-8.492,0.0,0.904,0.05,0.0,241.33,239.443,0.0
2021-02-21,0 days 10:21:00.000000000,130.551,5.218,0.0,-79.613,-8.539,0.0,0.872,0.049,0.0,241.421,239.853,0.0
2021-02-21,0 days 10:22:00.000000000,129.419,5.223,0.0,-79.544,-8.52,0.0,0.869,0.05,0.0,241.592,239.887,0.0
2021-02-21,0 days 10:23:00.000000000,128.962,5.219,0.0,-79.064,-8.519,0.0,0.868,0.05,0.0,241.455,239.734,0.0
